TournamentId	GameId	TournamentName	StartDate	EndDate	Location	Teamplay	TotalUSDPrize	Country
1000	151	GSL January 2011 (Code S)	2011-01-02	2011-01-29	Seoul, South Korea	0	118364.41	South Korea
1001	151	GSL January 2011 (Code A)	2011-01-02	2011-01-29	Seoul, South Korea	0	11567.43	South Korea
1002	151	GSL March 2011 (Code S)	2011-02-21	2011-03-19	Seoul, South Korea	0	116046.45	South Korea
1003	151	GSL March 2011 (Code A)	2011-02-21	2011-03-19	Seoul, South Korea	0	11471.31	South Korea
1004	151	GSL World Championship Seoul 2011	2011-03-28	2011-04-09	Seoul, South Korea	0	97882.00	South Korea
1005	151	GSL May 2011 (Code S)	2011-04-18	2011-05-14	Seoul, South Korea	0	121446.31	South Korea
1006	151	GSL May 2011 (Code A)	2011-04-18	2011-05-14	Seoul, South Korea	0	11868.64	South Korea
1007	151	GSL Super Tournament 2011	2011-05-23	2011-06-18	Seoul, South Korea	0	185832.56	South Korea
1008	151	GSL July 2011 (Code S)	2011-06-27	2011-07-30	Seoul, South Korea	0	123866.95	South Korea
1009	151	GSL July 2011 (Code A)	2011-06-27	2011-07-30	Seoul, South Korea	0	12244.25	South Korea
1010	151	GSL August 2011 (Code S)	2011-08-08	2011-09-10	Seoul, South Korea	0	122551.35	South Korea
1011	151	GSL August 2011 (Code A)	2011-08-08	2011-09-10	Seoul, South Korea	0	11976.57	South Korea
1012	151	GSL October 2011 (Code S)	2011-09-19	2011-10-22	Seoul, South Korea	0	115052.73	South Korea
1013	151	GSL October 2011 (Code A)	2011-09-19	2011-10-22	Seoul, South Korea	0	11243.73	South Korea
1014	151	GSL November 2011 (Code S)	2011-10-27	2011-12-07	Seoul, South Korea	0	116860.67	South Korea
1015	151	Arena of Legends	2011-09-17	2011-10-02	South Korea (Online)	0	5419.12	Online
1016	151	AoL: Team Ace Invitational	2011-11-03	2011-11-13	Busan, South Korea (Online)	0	17576.55	Online
1017	151	AoL: The King of Kongs	2012-01-02	2012-01-05	South Korea (Online)	0	3148.79	Online
1018	151	GSL Blizzard Cup 2011	2011-12-12	2011-12-17	Seoul, South Korea	0	58696.62	South Korea
1019	151	MLG Raleigh 2010 (StarCraft II)	2010-08-27	2010-08-29	Raleigh, North Carolina, USA	0	7000.00	USA
1020	151	MLG D.C. 2010 (StarCraft II)	2010-10-15	2010-10-17	Washington, D.C., USA	0	7000.00	USA
1021	151	MLG Dallas 2010 (StarCraft II)	2010-11-05	2010-11-07	Dallas, Texas, USA	0	17500.00	USA
1022	151	MLG Dallas 2011 (StarCraft II)	2011-04-01	2011-04-03	Dallas, Texas, USA	0	14000.00	USA
1023	151	MLG Columbus 2011 (StarCraft II)	2011-06-03	2011-06-05	Columbus, Ohio, USA	0	14000.00	USA
1024	151	MLG Anaheim 2011 (StarCraft II)	2011-07-29	2011-07-31	Anaheim, California, USA	0	14000.00	USA
1025	151	MLG Raleigh 2011 (StarCraft II)	2011-08-26	2011-08-28	Raleigh, North Carolina, USA	0	14000.00	USA
1026	151	MLG Orlando 2011 (StarCraft II)	2011-10-14	2011-10-16	Orlando, Florida, USA	0	14000.00	USA
